product_id|cod_agencia_id|cod_ruta_id|date|units|forecast_creation_date
536|14472|1254|2019-01-23|39|2019-01-22
29497|14461|1251|2019-01-23|2|2019-01-22
29497|14461|1223|2019-01-23|7|2019-01-22
29489|14468|1505|2019-01-23|4|2019-01-22
29495|14461|1220|2019-01-23|1|2019-01-22
42517|14461|1267|2019-01-23|7|2019-01-22
29491|14478|1501|2019-01-23|210|2019-01-22
29530|14477|501|2019-01-23|3|2019-01-22
536|14462|1282|2019-01-23|18|2019-01-22
42517|14472|1255|2019-01-23|1|2019-01-22
29471|14461|1241|2019-01-23|7|2019-01-22
536|14463|522|2019-01-23|5|2019-01-22
29502|14472|1210|2019-01-23|7|2019-01-22
29526|14472|1203|2019-01-23|2|2019-01-22
42525|14464|1203|2019-01-23|1|2019-01-22
29499|14461|1252|2019-01-23|1|2019-01-22
29530|14472|1216|2019-01-23|8|2019-01-22
33288|14465|1207|2019-01-23|3|2019-01-22
29473|14468|1205|2019-01-23|1|2019-01-22
29553|14477|105|2019-01-23|5|2019-01-22
40264|14464|4901|2019-01-23|10|2019-01-22
41685|14472|1207|2019-01-23|3|2019-01-22
29534|14465|1215|2019-01-23|1|2019-01-22
41687|14463|528|2019-01-23|1|2019-01-22
49276|14464|1228|2019-01-23|7|2019-01-22
29502|14461|1218|2019-01-23|12|2019-01-22
29548|14471|1209|2019-01-23|6|2019-01-22
32497|14463|520|2019-01-23|33|2019-01-22
29554|14477|507|2019-01-23|5|2019-01-22
536|14462|3502|2019-01-23|3|2019-01-22
29481|14465|1209|2019-01-23|3|2019-01-22
29558|14463|531|2019-01-23|12|2019-01-22
29470|14477|104|2019-01-23|1|2019-01-22
29533|14461|1220|2019-01-23|14|2019-01-22
42619|14468|1221|2019-01-23|18|2019-01-22
29481|14461|1203|2019-01-23|2|2019-01-22
500328|14462|1267|2019-01-23|6|2019-01-22
29537|14466|1241|2019-01-23|1|2019-01-22
41685|14461|1566|2019-01-23|12|2019-01-22
29556|14466|1501|2019-01-23|19|2019-01-22
29554|14462|1257|2019-01-23|6|2019-01-22
29470|14471|1209|2019-01-23|7|2019-01-22
29502|14477|501|2019-01-23|3|2019-01-22
40949|14462|1204|2019-01-23|6|2019-01-22
29543|14472|1210|2019-01-23|3|2019-01-22
32497|14462|1281|2019-01-23|24|2019-01-22
29495|14465|1507|2019-01-23|11|2019-01-22
41684|14473|1205|2019-01-23|8|2019-01-22
33288|14465|1216|2019-01-23|4|2019-01-22
29552|14466|1206|2019-01-23|5|2019-01-22
41687|14463|4903|2019-01-23|7|2019-01-22
29534|14468|1209|2019-01-23|2|2019-01-22
42517|14466|1223|2019-01-23|6|2019-01-22
29470|14461|1518|2019-01-23|20|2019-01-22
41687|14468|1507|2019-01-23|12|2019-01-22
42626|14461|1527|2019-01-23|35|2019-01-22
42626|14462|1237|2019-01-23|20|2019-01-22
29521|14478|1503|2019-01-23|616|2019-01-22
29470|14461|1511|2019-01-23|40|2019-01-22
45272|14461|1518|2019-01-23|18|2019-01-22
29553|14462|1202|2019-01-23|3|2019-01-22
29469|14462|1202|2019-01-23|1|2019-01-22
49276|14472|1215|2019-01-23|7|2019-01-22
41688|14461|1239|2019-01-23|1|2019-01-22
29499|14477|1210|2019-01-23|1|2019-01-22
500328|14468|1201|2019-01-23|6|2019-01-22
45272|14461|1215|2019-01-23|1|2019-01-22
29557|14461|1218|2019-01-23|26|2019-01-22
33288|14465|1201|2019-01-23|1|2019-01-22
33288|14461|1241|2019-01-23|3|2019-01-22
29553|14463|518|2019-01-23|6|2019-01-22
29527|14472|1254|2019-01-23|1|2019-01-22
42619|14462|1229|2019-01-23|5|2019-01-22
42517|14462|1284|2019-01-23|4|2019-01-22
42517|14461|1230|2019-01-23|13|2019-01-22
29470|14461|1565|2019-01-23|10|2019-01-22
29551|14478|1501|2019-01-23|816|2019-01-22
32497|14464|4902|2019-01-23|82|2019-01-22
536|14472|1201|2019-01-23|57|2019-01-22
32497|14464|1211|2019-01-23|25|2019-01-22
29553|14466|1212|2019-01-23|2|2019-01-22
29473|14461|1505|2019-01-23|100|2019-01-22
500328|14463|531|2019-01-23|6|2019-01-22
500328|14462|1281|2019-01-23|8|2019-01-22
29558|14477|507|2019-01-23|3|2019-01-22
41684|14466|1242|2019-01-23|14|2019-01-22
29470|14461|1588|2019-01-23|60|2019-01-22
29499|14461|1222|2019-01-23|5|2019-01-22
29499|14464|1203|2019-01-23|1|2019-01-22
2546|14465|1506|2019-01-23|12|2019-01-22
29552|14461|1225|2019-01-23|2|2019-01-22
29554|14477|104|2019-01-23|5|2019-01-22
29554|14462|1266|2019-01-23|19|2019-01-22
29479|14465|1514|2019-01-23|10|2019-01-22
