product_id,product_description,cod_agencia_id,cod_ruta_id,date,last_8wk_avg_sales_units,last_8wk_avg_return_units,units,forecast_creation_date
29490,Super Hot Dog 8p 600g SUP,14462,1206,1/23/2019,0,0,1,1/22/2019
40949,Rosquitas Integrales 200g SUP_40949,14462,1246,1/23/2019,0,0,2,1/22/2019
41687,Bimdog 8p 320g BIM_41687,14462,1503,1/23/2019,0,0,12,1/22/2019
29553,Tostadas Francesas 16p 120g GRI,14477,507,1/23/2019,0,0,10,1/22/2019
49276,Submarinos Chocomora 2p 54g MLA_49276,14468,1221,1/23/2019,0,0,9,1/22/2019
29495,Hot Dog 8p 320g SUP,14461,4901,1/23/2019,0,0,11,1/22/2019
42223,Molde Blanco con Actileche 580g BIM_42223,14463,1516,1/23/2019,0,0,3,1/22/2019
49276,Submarinos Chocomora 2p 54g MLA_49276,14468,1217,1/23/2019,0,0,10,1/22/2019
536,Panquecito 50g tira BIM_133,14463,121,1/23/2019,0,0,29,1/22/2019
29491,Super Hamburguesa 8p 520g SUP,14461,1583,1/23/2019,0,0,6,1/22/2019
41687,Bimdog 8p 320g BIM_41687,14461,4908,1/23/2019,0,0,2,1/22/2019
29554,Tostadas Integrales 16p 100g GRI,14462,1254,1/23/2019,0,0,23,1/22/2019
29526,Rosquitas Llaneras 200g SUP,14477,1212,1/23/2019,0,0,1,1/22/2019
500328,Mini Chocoso 20g BIM_500328,14472,1205,1/23/2019,0,0,6,1/22/2019
29491,Super Hamburguesa 8p 520g SUP,14461,1508,1/23/2019,0,0,6,1/22/2019
42609,Submarinos Chocolate 4p 33g MLA_42609,14471,1201,1/23/2019,0,0,1,1/22/2019
29486,Molde Yogurt y Almendras 680g BAU,14472,1501,1/23/2019,0,0,10,1/22/2019
41685,Molde Actileche sn Corteza 450g BIM_41685,14464,1211,1/23/2019,0,0,3,1/22/2019
29533,Mini Rosquitas Integrales 50g SUP,14461,1246,1/23/2019,0,0,13,1/22/2019
29557,Apanadura 250g BIM,14473,1208,1/23/2019,0,0,4,1/22/2019
29549,Mini Tostadas Integrales 40g GRI,14477,1205,1/23/2019,0,0,3,1/22/2019
29554,Tostadas Integrales 16p 100g GRI,14468,1207,1/23/2019,0,0,10,1/22/2019
29558,Apanadura Dorada 150g SUP,14477,1208,1/23/2019,0,0,22,1/22/2019
42609,Submarinos Chocolate 4p 33g MLA_42609,14472,1257,1/23/2019,0,0,2,1/22/2019
29490,Super Hot Dog 8p 600g SUP,14463,518,1/23/2019,0,0,1,1/22/2019
29537,Pan Dulce 16p 500g Dpy BIM_29537,14466,1215,1/23/2019,0,0,3,1/22/2019
42223,Molde Blanco con Actileche 580g BIM_42223,14466,1209,1/23/2019,0,0,8,1/22/2019
29499,Super Hamburguesa 12p 800g REY,14461,1263,1/23/2019,0,0,9,1/22/2019
29554,Tostadas Integrales 16p 100g GRI,14461,3346,1/23/2019,0,0,10,1/22/2019
29549,Mini Tostadas Integrales 40g GRI,14477,1210,1/23/2019,0,0,6,1/22/2019
536,Panquecito 50g tira BIM_133,14461,1272,1/23/2019,0,0,32,1/22/2019
29554,Tostadas Integrales 16p 100g GRI,14461,1265,1/23/2019,0,0,35,1/22/2019
29553,Tostadas Francesas 16p 120g GRI,14463,531,1/23/2019,0,0,5,1/22/2019
536,Panquecito 50g tira BIM_133,14466,1206,1/23/2019,0,0,88,1/22/2019
