fecha_de_venta,ceve_id,ITEM,producto,transitos,existencia,safety_stock,sugerido,pedido_final,pedido_final_camas,pedido_final_tarimas
2019-03-22,12768,600582,CACAHUATE KIMONO TRANSF 28 G,0,0,0,0,0,0,0
2019-03-22,12768,35991,CACAHUATE KIYAKIS 95G BAR,0,0,0,0,0,0,0
2019-03-22,12768,602816,CAJA CON RELLERINDO SANDIA CHAMOY TRASPASO (1500PZAS),0,0,0,0,0,0,0
2019-03-22,12768,602813,CAJA CON SANDIGOMA CON CHILE 8.5G VERO TRASPASO (1800 PZA),0,0,0,0,0,0,0
2019-03-22,12768,123697,CAJETA CARAMELO 1P 370G CU COR,0,0,0,0,0,0,0
2019-03-22,12768,123157,CAJETA QUEMADA 180G COR,0,0,0,0,0,0,0
2019-03-22,12768,33433,CAJETA QUEMADA YOPI 180G YOP,0,0,0,0,0,0,0
2019-03-22,12768,8789,CAJETA VAINILLA 310G COR,0,0,0,0,0,0,0
2019-03-22,12768,34523,CAJETITA 30G COR,0,0,0,0,0,0,0
2019-03-22,12768,123497,CANASTA AVELLANA 50P 325G CJ CU LC,0,0,0,0,0,0,0
2019-03-22,12768,124078,CAPITAN GOURMET 24P 150 MLG CU BAR,0,0,0,0,0,0,0
2019-03-22,12768,123784,CARAMELO ALKA ICE MIEL 9P 30.6G CU ARC,10,0,0,0,0,0,0
2019-03-22,12768,123785,CARAMELO ALKAICEMTA/YERB 9P 30.6G CU ARC,11,0,0,0,0,0,0
2019-03-22,12768,35512,CARAMELO SANDIBROCHAS BITES 1P 40G VER,0,0,0,0,0,0,0
2019-03-22,12768,124161,CEREBROZOS 10P 20G TIRA CU VER,0,0,0,0,0,0,0
2019-03-22,12768,124496,CEREBROZOS PLAN COMERCIAL 10P 20G TIRA CU VER,58,0,1,0,0,0,0
2019-03-22,12768,124076,CHAMOY AMOR 20P 355 MLG CU BAR,0,0,0,0,0,0,0
2019-03-22,12768,35549,CHICHARRON CERDO 90G CB2 BAR,0,0,0,0,0,0,0
2019-03-22,12768,123790,CHICHARRON DE CERDO 110G CB3 BAR,16,0,1,0,0,0,0
2019-03-22,12768,123513,CHICHARRON DE CERDO 75G BOLSA CB2 BAR,1,0,2,12,12,0,0
2019-03-22,12768,6177,CHICHARRON KIMONO 36G BAR,0,0,0,0,0,0,0
2019-03-22,12768,36293,CHICKS BOLSA 150P TRI CHK,0,0,0,0,0,0,0
2019-03-22,12768,122977,CHICLE BOLA 50P 3G CJ RIC,0,0,0,0,0,0,0
2019-03-22,12768,30179,CHICLOSO CAJETA 105G BOLSA COR,0,0,0,0,0,0,0
2019-03-22,12768,37733,CHICLOSO RESURTIDO 65P 403G COR,0,0,0,0,0,0,0
2019-03-22,12768,196446,CHIP´S SAL 800 G TRANSFERENCIA,0,0,0,0,0,0,0
2019-03-22,12768,122875,CHIPOTLES 170G BAR,0,0,0,0,0,0,0
2019-03-22,12768,6490,CHIPOTLES 52G BAR,138,182,45,0,0,0,0
2019-03-22,12768,124348,CHIPOTLES 60G PROMO CB2 BAR,0,0,0,0,0,0,0
2019-03-22,12768,31811,CHIPOTLES 80G BAR,42,28,8,0,0,0,0
2019-03-22,12768,123636,CHIPS 16P 672G CJ CU BAR,0,0,0,0,0,0,0
2019-03-22,12768,7184,CHIPS A LA DIABLA 170G BAR,0,0,0,0,0,0,0
2019-03-22,12768,123272,CHIPS A LA DIABLA 42G BAR,0,0,0,0,0,0,0
2019-03-22,12768,42225,CHIPS A LA DIABLA 46G BAR,0,0,0,0,0,0,0
2019-03-22,12768,123499,CHIPS A LA DIABLA 50G BOLSA CO2 BAR,0,0,0,0,0,0,0
2019-03-22,12768,123271,CHIPS ADOBADAS 42G BAR,0,0,0,0,0,0,0
2019-03-22,12768,42226,CHIPS ADOBADAS 46G BAR,0,0,0,0,0,0,0
2019-03-22,12768,123492,CHIPS ADOBADAS 50G BOLSA CO2 BAR,0,0,0,0,0,0,0
2019-03-22,12768,122991,CHIPS ADOBADAS 53G BAR,0,0,0,0,0,0,0
2019-03-22,12768,35035,CHIPS ADOBADAS CORTE DELGADO 55G BAR,0,0,0,0,0,0,0
2019-03-22,12768,35037,CHIPS ADOBADAS CORTE DELGADO170G BAR,0,0,0,0,0,0,0
2019-03-22,12768,122911,CHIPS CHIPOTLE LIMON 46G BAR,0,0,0,0,0,0,0
2019-03-22,12768,122897,CHIPS CHIPOTLE LIMON CA 100G BAR,0,0,0,0,0,0,0
2019-03-22,12768,122898,CHIPS CHIPOTLE LIMON CA 170G BAR,0,0,0,0,0,0,0
2019-03-22,12768,123269,CHIPS CON SAL 42G BAR,0,0,0,0,0,0,0
2019-03-22,12768,36215,CHIPS CORT DELGADO ADOBADAS MAR 245G BAR,0,0,0,0,0,0,0
2019-03-22,12768,38448,CHIPS CORTE DELGADO LIMON 100G BAR,0,0,0,0,0,0,0
2019-03-22,12768,40926,CHIPS CREMA Y ESPECIAS 170G BAR,0,0,0,0,0,0,0
2019-03-22,12768,122990,CHIPS DIABLA 53G BAR,0,0,0,0,0,0,0
2019-03-22,12768,31560,CHIPS DIABLA 60G BAR,0,0,0,0,0,0,0
2019-03-22,12768,9841,CHIPS FIESTA SAL 350G BAR,0,0,0,0,0,0,0
2019-03-22,12768,38447,CHIPS FUEGO 100G BAR,32,0,5,0,0,0,0
2019-03-22,12768,31090,CHIPS FUEGO 170G BAR,447,231,96,0,0,0,0
2019-03-22,12768,34287,CHIPS FUEGO 245G BAR,0,0,0,0,0,0,0
2019-03-22,12768,37144,CHIPS FUEGO 350G BAR,0,0,0,0,0,0,0
2019-03-22,12768,123273,CHIPS FUEGO 42G CO2 BAR,0,0,0,0,0,0,0
2019-03-22,12768,31089,CHIPS FUEGO 46G BAR,0,0,0,0,0,0,0
2019-03-22,12768,123493,CHIPS FUEGO 50G BOLSA CO2 BAR,0,0,0,0,0,0,0
2019-03-22,12768,122930,CHIPS FUEGO 53G BAR,0,0,0,0,0,0,0
2019-03-22,12768,31088,CHIPS FUEGO 55G BAR,257,0,55,96,96,14,2
2019-03-22,12768,6011,CHIPS JALAPENO 100G BAR,56,0,3,0,0,0,0
2019-03-22,12768,800,CHIPS JALAPENO 170G BAR,537,178,60,0,0,0,0
2019-03-22,12768,34285,CHIPS JALAPENO 245G BAR,0,0,0,0,0,0,0
2019-03-22,12768,42128,CHIPS JALAPENO 46G BAR,0,0,0,0,0,0,0
2019-03-22,12768,123494,CHIPS JALAPENO 50G BOLSA CO2 BAR,0,0,0,0,0,0,0
2019-03-22,12768,122931,CHIPS JALAPENO 53G BAR,0,0,0,0,0,0,0
2019-03-22,12768,31561,CHIPS JALAPENO 60G BAR,304,134,47,0,0,0,0
2019-03-22,12768,9840,CHIPS JALAPEÑO 350G BAR,0,0,0,0,0,0,0
2019-03-22,12768,123270,CHIPS JALAPEÑO 42G CO2 BAR,0,0,0,0,0,0,0
2019-03-22,12768,9742,CHIPS LIMON 55G BAR,0,0,0,0,0,0,0
2019-03-22,12768,35942,CHIPS LIMON CORTE DELGADO 55G BAR,0,0,0,0,0,0,0
2019-03-22,12768,9645,CHIPS LIMON TRADICIONAL 100G BAR,0,0,0,0,0,0,0
2019-03-22,12768,9631,CHIPS LIMON TRADICIONAL 46G BAR,0,0,0,0,0,0,0
2019-03-22,12768,123420,CHIPS QUESO 18G CB1 BAR,0,0,0,0,0,0,0
2019-03-22,12768,123465,CHIPS QUESO 25P 18G CU BAR,0,0,0,0,0,0,0
2019-03-22,12768,123419,CHIPS QUESO 42G CB1 BAR,0,0,0,0,0,0,0
2019-03-22,12768,123529,CHIPS QUESO 50G CB1 BAR,149,0,17,0,0,0,0
2019-03-22,12768,123695,CHIPS QUESO CA 170G CB2 BAR,0,0,0,0,0,0,0
2019-03-22,12768,123418,CHIPS QUESO PLAN COMERCIAL 100G CU BAR,0,0,0,0,0,0,0
2019-03-22,12768,123417,CHIPS QUESO PLAN COMERCIAL 170G CB2 BAR,0,0,0,0,0,0,0
2019-03-22,12768,123693,CHIPS QUESO PLAN COMERCIAL 55G CB2 BAR,18,0,5,0,0,0,0
2019-03-22,12768,6012,CHIPS SAL 100G BAR,6,13,1,0,0,0,0
2019-03-22,12768,123601,CHIPS SAL 100G CU BAR,0,0,0,0,0,0,0
2019-03-22,12768,2530,CHIPS SAL 170G BAR,472,211,30,0,0,0,0
2019-03-22,12768,34286,CHIPS SAL 245G BAR,0,0,0,0,0,0,0
2019-03-22,12768,42227,CHIPS SAL 46G BAR,0,0,0,0,0,0,0
2019-03-22,12768,48600,CHIPS SAL 500G BAR,0,0,0,0,0,0,0
